tss-1r_m1_shpa	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 896		support_data											
tss-1r_m1_shpa	Epoch_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch - value		support_data											
tss-1r_m1_shpa	Epoch_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch + value		support_data											
tss-1r_m1_shpa	Epoch_TO1	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 576		support_data											
tss-1r_m1_shpa	Epoch_TO1_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch_TO1 - value		support_data											
tss-1r_m1_shpa	Epoch_TO1_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch_TO1 + value		support_data											
tss-1r_m1_shpa	Epoch_TO2	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 832		support_data											
tss-1r_m1_shpa	Epoch_TO2_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch_TO2 - value		support_data											
tss-1r_m1_shpa	Epoch_TO2_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch_TO2 + value		support_data											
tss-1r_m1_shpa	Epoch_TO3	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 768		support_data											
tss-1r_m1_shpa	Epoch_TO3_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch_TO3 - value		support_data											
tss-1r_m1_shpa	Epoch_TO3_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch_TO3 + value		support_data											
tss-1r_m1_shpa	Epoch_TO4	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 640		support_data											
tss-1r_m1_shpa	Epoch_TO4_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch_TO4 - value		support_data											
tss-1r_m1_shpa	Epoch_TO4_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch_TO4 + value		support_data											
tss-1r_m1_shpa	Epoch_TO5	ns	1.0e-9&gt;s	Time Line	Start Time for the record using time_off value of 64		support_data											
tss-1r_m1_shpa	Epoch_TO5_Start	ns	1.0e-9&gt;s	Time Resolution	Start time = Epoch_TO5 - value		support_data											
tss-1r_m1_shpa	Epoch_TO5_End	ns	1.0e-9&gt;s	Time Resolution	End time = Epoch_TO5 + value		support_data											
