psp_fld_l2_aeb	epoch_aeb1	ns		epoch_aeb1	Time in TT2000 for AEB1 data		support_data											
psp_fld_l2_aeb	epoch_aeb2	ns		epoch_aeb2	Time in TT2000 for AEB2 data		support_data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_TELEM_FLAG			psp_fld_l2_aeb1_TELEM_FLAG	Flag indicating source of AEB1 data.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb2_TELEM_FLAG			psp_fld_l2_aeb2_TELEM_FLAG	Flag indicating source of AEB2 data.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_AEB1_TEMP	&#176;C		psp_fld_l2_aeb1_AEB1_TEMP	Measured temperature of the AEB1 circuit board.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_PA1_TEMP	&#176;C		psp_fld_l2_aeb1_PA1_TEMP	Measured temperature of the V1 preamplifier.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_PA2_TEMP	&#176;C		psp_fld_l2_aeb1_PA2_TEMP	Measured temperature of the V2 preamplifier.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_PA5_TEMP	&#176;C		psp_fld_l2_aeb1_PA5_TEMP	Measured temperature of the V5 preamplifier.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_RBIAS			psp_fld_l2_aeb1_V1_RBIAS	Index of selected bias resistor for V1 bias current.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_SHIELD_VOLT	V		psp_fld_l2_aeb1_V1_SHIELD_VOLT	Measured bias voltage applied to the V1 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_SHIELD_VOLT_DAC	V		psp_fld_l2_aeb1_V1_SHIELD_VOLT_DAC	Commanded bias voltage applied to the V1 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_SHIELD_VOLT_DAC_counts			psp_fld_l2_aeb1_V1_SHIELD_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V1 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_STUB_VOLT	V		psp_fld_l2_aeb1_V1_STUB_VOLT	Measured bias voltage applied to the V1 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_STUB_VOLT_DAC	V		psp_fld_l2_aeb1_V1_STUB_VOLT_DAC	Commanded bias voltage applied to the V1 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_STUB_VOLT_DAC_counts			psp_fld_l2_aeb1_V1_STUB_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V1 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_WHIP_CURR	&#181;A		psp_fld_l2_aeb1_V1_WHIP_CURR	Bias current applied to the V1 whip, derived from measured bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_WHIP_CURR_DAC	&#181;A		psp_fld_l2_aeb1_V1_WHIP_CURR_DAC	Bias current applied to the V1 whip, derived from commanded bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_WHIP_VOLT	V		psp_fld_l2_aeb1_V1_WHIP_VOLT	Measured bias voltage applied to the V1 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_WHIP_VOLT_DAC	V		psp_fld_l2_aeb1_V1_WHIP_VOLT_DAC	Commanded bias voltage applied to the V1 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V1_WHIP_VOLT_DAC_counts			psp_fld_l2_aeb1_V1_WHIP_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V1 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_RBIAS			psp_fld_l2_aeb1_V2_RBIAS	Index of selected bias resistor for V2 bias current.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_SHIELD_VOLT	V		psp_fld_l2_aeb1_V2_SHIELD_VOLT	Measured bias voltage applied to the V2 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_SHIELD_VOLT_DAC	V		psp_fld_l2_aeb1_V2_SHIELD_VOLT_DAC	Commanded bias voltage applied to the V2 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_SHIELD_VOLT_DAC_counts			psp_fld_l2_aeb1_V2_SHIELD_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V2 shield.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_STUB_VOLT	V		psp_fld_l2_aeb1_V2_STUB_VOLT	Measured bias voltage applied to the V2 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_STUB_VOLT_DAC	V		psp_fld_l2_aeb1_V2_STUB_VOLT_DAC	Commanded bias voltage applied to the V2 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_STUB_VOLT_DAC_counts			psp_fld_l2_aeb1_V2_STUB_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V2 stub.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_WHIP_CURR	&#181;A		psp_fld_l2_aeb1_V2_WHIP_CURR	Bias current applied to the V2 whip, derived from measured bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_WHIP_CURR_DAC	&#181;A		psp_fld_l2_aeb1_V2_WHIP_CURR_DAC	Bias current applied to the V2 whip, derived from commanded bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_WHIP_VOLT	V		psp_fld_l2_aeb1_V2_WHIP_VOLT	Measured bias voltage applied to the V2 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_WHIP_VOLT_DAC	V		psp_fld_l2_aeb1_V2_WHIP_VOLT_DAC	Commanded bias voltage applied to the V2 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V2_WHIP_VOLT_DAC_counts			psp_fld_l2_aeb1_V2_WHIP_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V2 whip.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_BOX_VOLT	V		psp_fld_l2_aeb1_V5_BOX_VOLT	Measured bias voltage applied to the V5 box.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_BOX_VOLT_DAC	V		psp_fld_l2_aeb1_V5_BOX_VOLT_DAC	Commanded bias voltage applied to the V5 box.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_BOX_VOLT_DAC_counts			psp_fld_l2_aeb1_V5_BOX_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V5 box.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_SENSOR_CURR	&#181;A		psp_fld_l2_aeb1_V5_SENSOR_CURR	Bias current applied to the V5 sensor, derived from measured bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_SENSOR_CURR_DAC	&#181;A		psp_fld_l2_aeb1_V5_SENSOR_CURR_DAC	Bias current applied to the V5 sensor, derived from commanded bias voltage.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_SENSOR_VOLT	V		psp_fld_l2_aeb1_V5_SENSOR_VOLT	Measured bias voltage applied to the V5 sensor.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_SENSOR_VOLT_DAC	V		psp_fld_l2_aeb1_V5_SENSOR_VOLT_DAC	Commanded bias voltage applied to the V5 sensor.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_V5_SENSOR_VOLT_DAC_counts			psp_fld_l2_aeb1_V5_SENSOR_VOLT_DAC_counts	Commanded raw bias voltage (in DAC counts) applied to the V5 sensor.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_XFL_CURR	&#181;A		psp_fld_l2_aeb1_XFL_CURR	Current draw of the floating power supply for the V1 and V2 antennas.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_XFL_TEMP	&#176;C		psp_fld_l2_aeb1_XFL_TEMP	Measured temperature of the floating power supply for the V1 and V2 antennas.		data											
psp_fld_l2_aeb	psp_fld_l2_aeb1_ZFL_CURR	&#181;A		psp_fld_l2_aeb1_ZFL_CURR	Current draw of the floating power supply for the V5 sensor.		data											
